"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 13:51:16 GMT 2022","Sat Nov 19 13:51:17 GMT 2022","173","","Pessoa","","","","DELETE - Teste deletar pessoa passando id inexistente retorna codigo 404",""
"passed","Sat Nov 19 13:50:51 GMT 2022","Sat Nov 19 13:50:52 GMT 2022","236","","Contato","","","","DELETE - Teste deletar contato",""
"passed","Sat Nov 19 13:51:16 GMT 2022","Sat Nov 19 13:51:16 GMT 2022","82","","Pessoa","","","","GET - Teste retorna lista com contatos sem passar idPessoa",""
"passed","Sat Nov 19 13:50:55 GMT 2022","Sat Nov 19 13:50:55 GMT 2022","337","","Endereco","","","","GET - Teste listar endereco por país",""
"passed","Sat Nov 19 13:50:51 GMT 2022","Sat Nov 19 13:50:51 GMT 2022","197","","Contato","","","","POST - Teste adicionar contato",""
"passed","Sat Nov 19 13:51:17 GMT 2022","Sat Nov 19 13:51:17 GMT 2022","185","","Pessoa","","","","PUT - Atualizar Pessoa Passando Id Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 13:51:31 GMT 2022","Sat Nov 19 13:51:31 GMT 2022","117","","Contratos Pessoa","","","","Contrato - Validar contrato lista pessoas por pagina",""
"failed","Sat Nov 19 13:51:31 GMT 2022","Sat Nov 19 13:51:31 GMT 2022","248","","Contratos Pessoa","","","","Contrato - Validar contrato lista contatos",""
"passed","Sat Nov 19 13:51:25 GMT 2022","Sat Nov 19 13:51:25 GMT 2022","102","","Contratos Pessoa","","","","Contrato - Validar contrato lista contato",""
"failed","Sat Nov 19 13:51:07 GMT 2022","Sat Nov 19 13:51:11 GMT 2022","4181","","Pessoa","","","","GET - Teste lista com enderecos",""
"passed","Sat Nov 19 13:50:58 GMT 2022","Sat Nov 19 13:50:58 GMT 2022","190","","Pessoa","","","","GET - Teste listar pessoa pelo nome ",""
"passed","Sat Nov 19 13:51:16 GMT 2022","Sat Nov 19 13:51:16 GMT 2022","71","","Pessoa","","","","GET - Teste buscar pessoa com nome não cadastrado retorna vazio ",""
"passed","Sat Nov 19 13:50:52 GMT 2022","Sat Nov 19 13:50:52 GMT 2022","64","","Contato","","","","GET - Teste listar contatos",""
"passed","Sat Nov 19 13:51:28 GMT 2022","Sat Nov 19 13:51:28 GMT 2022","96","","Contratos Pessoa","","","","Contrato - Validar contrato lista todos os enderecos",""
"passed","Sat Nov 19 13:51:31 GMT 2022","Sat Nov 19 13:51:31 GMT 2022","68","","Contratos Pessoa","","","","Contrato - Validar contrato lista relatorio",""
"failed","Sat Nov 19 13:51:17 GMT 2022","Sat Nov 19 13:51:22 GMT 2022","4296","","Pessoa","","","","GET - Teste Buscar Lista Com Contatos Passando Id Pessoa Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 13:50:55 GMT 2022","Sat Nov 19 13:50:55 GMT 2022","296","","Endereco","","","","GET - Teste listar endereco por idEndereco",""
"passed","Sat Nov 19 13:50:52 GMT 2022","Sat Nov 19 13:50:52 GMT 2022","296","","Contato","","","","GET - Teste listar contato por idPessoa",""
