"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 16:18:40 GMT 2022","Sat Nov 19 16:18:40 GMT 2022","66","","Pessoa","","","","GET - Teste listar todas as pessoas ",""
"passed","Sat Nov 19 16:18:20 GMT 2022","Sat Nov 19 16:18:20 GMT 2022","242","","Endereco","","","","DELETE - Teste deletar endereco por idEndereco",""
"failed","Sat Nov 19 16:18:56 GMT 2022","Sat Nov 19 16:18:56 GMT 2022","252","","Contratos Pessoa","","","","Contrato - Validar contrato lista enderecos",""
"failed","Sat Nov 19 16:18:31 GMT 2022","Sat Nov 19 16:18:35 GMT 2022","4207","","Pessoa","","","","GET - Teste lista com enderecos",""
"passed","Sat Nov 19 16:18:41 GMT 2022","Sat Nov 19 16:18:42 GMT 2022","201","","Pessoa","","","","GET - Teste Buscar Relatorio Passando idPessoa Inexistente Retorna Vazio ",""
"passed","Sat Nov 19 16:18:35 GMT 2022","Sat Nov 19 16:18:36 GMT 2022","522","","Pessoa","","","","GET - Teste retornar lista com enderecos sem passar idPessoa",""
"passed","Sat Nov 19 16:18:46 GMT 2022","Sat Nov 19 16:18:46 GMT 2022","61","","Pessoa","","","","GET - Teste Consultar Pessoa Pelo Nome Passando Nome Invalido Retorna Vazio ",""
"failed","Sat Nov 19 16:18:42 GMT 2022","Sat Nov 19 16:18:46 GMT 2022","4352","","Pessoa","","","","GET - Teste Buscar Lista Com Contatos Passando Id Pessoa Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 16:18:42 GMT 2022","Sat Nov 19 16:18:42 GMT 2022","176","","Pessoa","","","","GET - Teste Buscar Lista Completa Passando idPessoa Inexistente Retorna Vazio ",""
"passed","Sat Nov 19 16:18:16 GMT 2022","Sat Nov 19 16:18:16 GMT 2022","239","","Contato","","","","DELETE - Teste deletar contato",""
"passed","Sat Nov 19 16:18:52 GMT 2022","Sat Nov 19 16:18:52 GMT 2022","99","","Contratos Pessoa","","","","Contrato - Validar contrato lista todos os enderecos",""
"failed","Sat Nov 19 16:18:53 GMT 2022","Sat Nov 19 16:18:53 GMT 2022","296","","Contratos Pessoa","","","","Contrato - Validar contrato lista enderecos por pais",""
