"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 02:32:08 GMT 2022","Sat Nov 19 02:32:08 GMT 2022","320","","Endereco","","","","GET - Teste listar enderecos por pagina",""
"passed","Sat Nov 19 02:32:29 GMT 2022","Sat Nov 19 02:32:30 GMT 2022","175","","Pessoa","","","","PUT - Atualizar Pessoa Passando Id Inexistente Retorna Codigo 404",""
"failed","Sat Nov 19 02:32:24 GMT 2022","Sat Nov 19 02:32:29 GMT 2022","4199","","Pessoa","","","","GET - Teste lista com contatos",""
"passed","Sat Nov 19 02:32:24 GMT 2022","Sat Nov 19 02:32:24 GMT 2022","567","","Pessoa","","","","GET - Teste retornar lista com enderecos sem passar idPessoa",""
"passed","Sat Nov 19 02:32:05 GMT 2022","Sat Nov 19 02:32:05 GMT 2022","290","","Contato","","","","GET - Teste listar contato por idPessoa",""
"passed","Sat Nov 19 02:32:29 GMT 2022","Sat Nov 19 02:32:29 GMT 2022","173","","Pessoa","","","","DELETE - Teste deletar pessoa passando id inexistente retorna codigo 404",""
"passed","Sat Nov 19 02:32:09 GMT 2022","Sat Nov 19 02:32:09 GMT 2022","228","","Endereco","","","","DELETE - Teste deletar endereco por idEndereco",""
"passed","Sat Nov 19 02:32:29 GMT 2022","Sat Nov 19 02:32:29 GMT 2022","59","","Pessoa","","","","POST - Adicionar pessoa sem preencher nome retorna codigo 400",""
"passed","Sat Nov 19 02:32:30 GMT 2022","Sat Nov 19 02:32:30 GMT 2022","182","","Pessoa","","","","GET - Teste Buscar Relatorio Passando idPessoa Inexistente Retorna Vazio ",""
"passed","Sat Nov 19 02:32:11 GMT 2022","Sat Nov 19 02:32:11 GMT 2022","134","","Pessoa","","","","POST - Teste adicionar pessoa",""
"passed","Sat Nov 19 02:32:29 GMT 2022","Sat Nov 19 02:32:29 GMT 2022","85","","Pessoa","","","","GET - Teste retorna lista com contatos sem passar idPessoa",""
"passed","Sat Nov 19 02:32:04 GMT 2022","Sat Nov 19 02:32:04 GMT 2022","206","","Contato","","","","POST - Teste adicionar contato",""
"passed","Sat Nov 19 02:32:41 GMT 2022","Sat Nov 19 02:32:41 GMT 2022","69","","Contratos Pessoa","","","","Contrato - Validar contrato lista enderecos por idPessoa",""
"passed","Sat Nov 19 02:32:29 GMT 2022","Sat Nov 19 02:32:29 GMT 2022","71","","Pessoa","","","","GET - Teste listar todas as pessoas ",""
"passed","Sat Nov 19 02:32:38 GMT 2022","Sat Nov 19 02:32:38 GMT 2022","108","","Contratos Pessoa","","","","Contrato - Validar contrato lista contato",""
"failed","Sat Nov 19 02:32:40 GMT 2022","Sat Nov 19 02:32:40 GMT 2022","274","","Contratos Pessoa","","","","Contrato - Validar contrato lista endereco",""
"failed","Sat Nov 19 02:32:44 GMT 2022","Sat Nov 19 02:32:44 GMT 2022","240","","Contratos Pessoa","","","","Contrato - Validar contrato lista enderecos",""
"passed","Sat Nov 19 02:32:11 GMT 2022","Sat Nov 19 02:32:11 GMT 2022","191","","Pessoa","","","","GET - Teste listar pessoa pelo nome ",""
"failed","Sat Nov 19 02:32:15 GMT 2022","Sat Nov 19 02:32:20 GMT 2022","4211","","Pessoa","","","","GET - Teste lista completa",""
"passed","Sat Nov 19 02:32:29 GMT 2022","Sat Nov 19 02:32:29 GMT 2022","122","","Pessoa","","","","DELETE - Teste deletar pessoa",""
"passed","Sat Nov 19 02:32:44 GMT 2022","Sat Nov 19 02:32:44 GMT 2022","118","","Contratos Pessoa","","","","Contrato - Validar contrato lista pessoas por pagina",""
"passed","Sat Nov 19 02:32:30 GMT 2022","Sat Nov 19 02:32:30 GMT 2022","174","","Pessoa","","","","GET - Teste Buscar Lista Completa Passando idPessoa Inexistente Retorna Vazio ",""
"passed","Sat Nov 19 02:32:29 GMT 2022","Sat Nov 19 02:32:29 GMT 2022","228","","Pessoa","","","","PUT - atualizar pessoa",""
"passed","Sat Nov 19 02:32:30 GMT 2022","Sat Nov 19 02:32:30 GMT 2022","173","","Pessoa","","","","GET - Teste Buscar Lista De Enderecos Passando idPessoa Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 02:32:34 GMT 2022","Sat Nov 19 02:32:34 GMT 2022","62","","Pessoa","","","","GET - Teste Consultar Pessoa Pelo Nome Passando Nome Invalido Retorna Vazio ",""
"passed","Sat Nov 19 02:32:07 GMT 2022","Sat Nov 19 02:32:08 GMT 2022","299","","Endereco","","","","GET - Teste listar endereco por idEndereco",""
"failed","Sat Nov 19 02:32:41 GMT 2022","Sat Nov 19 02:32:41 GMT 2022","300","","Contratos Pessoa","","","","Contrato - Validar contrato lista enderecos por pais",""
"failed","Sat Nov 19 02:32:44 GMT 2022","Sat Nov 19 02:32:44 GMT 2022","256","","Contratos Pessoa","","","","Contrato - Validar contrato lista contatos",""
"passed","Sat Nov 19 02:32:29 GMT 2022","Sat Nov 19 02:32:29 GMT 2022","70","","Pessoa","","","","GET - Teste buscar pessoa com nome não cadastrado retorna vazio ",""
"failed","Sat Nov 19 02:32:20 GMT 2022","Sat Nov 19 02:32:24 GMT 2022","4188","","Pessoa","","","","GET - Teste lista com enderecos",""
"passed","Sat Nov 19 02:32:40 GMT 2022","Sat Nov 19 02:32:41 GMT 2022","100","","Contratos Pessoa","","","","Contrato - Validar contrato lista todos os enderecos",""
"passed","Sat Nov 19 02:32:05 GMT 2022","Sat Nov 19 02:32:05 GMT 2022","293","","Contato","","","","PUT - Teste atualizar contato",""
"failed","Sat Nov 19 02:32:11 GMT 2022","Sat Nov 19 02:32:15 GMT 2022","4197","","Pessoa","","","","GET - Teste listar relatorio ",""
"passed","Sat Nov 19 02:32:09 GMT 2022","Sat Nov 19 02:32:09 GMT 2022","234","","Endereco","","","","POST - Teste adicionar endereco com sucesso",""
"passed","Sat Nov 19 02:32:08 GMT 2022","Sat Nov 19 02:32:08 GMT 2022","340","","Endereco","","","","GET - Teste listar endereco por país",""
"passed","Sat Nov 19 02:32:08 GMT 2022","Sat Nov 19 02:32:09 GMT 2022","290","","Endereco","","","","GET - Teste listar endereco por idPessoa",""
"passed","Sat Nov 19 02:32:44 GMT 2022","Sat Nov 19 02:32:44 GMT 2022","67","","Contratos Pessoa","","","","Contrato - Validar contrato lista relatorio",""
"failed","Sat Nov 19 02:32:30 GMT 2022","Sat Nov 19 02:32:34 GMT 2022","4278","","Pessoa","","","","GET - Teste Buscar Lista Com Contatos Passando Id Pessoa Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 02:32:44 GMT 2022","Sat Nov 19 02:32:44 GMT 2022","94","","Contratos Pessoa","","","","Contrato - Validar contrato lista byname",""
"passed","Sat Nov 19 02:32:04 GMT 2022","Sat Nov 19 02:32:05 GMT 2022","236","","Contato","","","","DELETE - Teste deletar contato",""
"passed","Sat Nov 19 02:32:05 GMT 2022","Sat Nov 19 02:32:05 GMT 2022","62","","Contato","","","","GET - Teste listar contatos",""
