"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 14:00:52 GMT 2022","Sat Nov 19 14:00:52 GMT 2022","193","","Contato","","","","POST - Teste adicionar contato",""
"failed","Sat Nov 19 14:00:59 GMT 2022","Sat Nov 19 14:01:03 GMT 2022","4214","","Pessoa","","","","GET - Teste listar relatorio ",""
"passed","Sat Nov 19 14:00:53 GMT 2022","Sat Nov 19 14:00:53 GMT 2022","313","","Contato","","","","PUT - Teste atualizar contato",""
"passed","Sat Nov 19 14:00:52 GMT 2022","Sat Nov 19 14:00:53 GMT 2022","231","","Contato","","","","DELETE - Teste deletar contato",""
"passed","Sat Nov 19 14:00:55 GMT 2022","Sat Nov 19 14:00:56 GMT 2022","296","","Endereco","","","","GET - Teste listar endereco por idEndereco",""
"passed","Sat Nov 19 14:01:31 GMT 2022","Sat Nov 19 14:01:31 GMT 2022","116","","Contratos Pessoa","","","","Contrato - Validar contrato lista todos os enderecos",""
"passed","Sat Nov 19 14:00:53 GMT 2022","Sat Nov 19 14:00:53 GMT 2022","63","","Contato","","","","GET - Teste listar contatos",""
"passed","Sat Nov 19 14:01:12 GMT 2022","Sat Nov 19 14:01:12 GMT 2022","556","","Pessoa","","","","GET - Teste retornar lista com enderecos sem passar idPessoa",""
"passed","Sat Nov 19 14:01:34 GMT 2022","Sat Nov 19 14:01:34 GMT 2022","132","","Contratos Pessoa","","","","Contrato - Validar contrato lista byname",""
"failed","Sat Nov 19 14:01:34 GMT 2022","Sat Nov 19 14:01:34 GMT 2022","268","","Contratos Pessoa","","","","Contrato - Validar contrato lista contatos",""
"passed","Sat Nov 19 14:00:56 GMT 2022","Sat Nov 19 14:00:57 GMT 2022","351","","Endereco","","","","GET - Teste listar endereco por idPessoa",""
"passed","Sat Nov 19 14:01:34 GMT 2022","Sat Nov 19 14:01:34 GMT 2022","116","","Contratos Pessoa","","","","Contrato - Validar contrato lista pessoas por pagina",""
"passed","Sat Nov 19 14:01:31 GMT 2022","Sat Nov 19 14:01:31 GMT 2022","69","","Contratos Pessoa","","","","Contrato - Validar contrato lista enderecos por idPessoa",""
"failed","Sat Nov 19 14:01:08 GMT 2022","Sat Nov 19 14:01:12 GMT 2022","4223","","Pessoa","","","","GET - Teste lista com enderecos",""
"passed","Sat Nov 19 14:01:24 GMT 2022","Sat Nov 19 14:01:24 GMT 2022","96","","Pessoa","","","","GET - Teste Consultar Pessoa Pelo Nome Passando Nome Invalido Retorna Vazio ",""
"passed","Sat Nov 19 14:00:59 GMT 2022","Sat Nov 19 14:00:59 GMT 2022","137","","Pessoa","","","","POST - Teste adicionar pessoa",""
"passed","Sat Nov 19 14:01:19 GMT 2022","Sat Nov 19 14:01:19 GMT 2022","75","","Pessoa","","","","GET - Teste buscar pessoa com nome não cadastrado retorna vazio ",""
"failed","Sat Nov 19 14:01:12 GMT 2022","Sat Nov 19 14:01:17 GMT 2022","4245","","Pessoa","","","","GET - Teste lista com contatos",""
"failed","Sat Nov 19 14:01:31 GMT 2022","Sat Nov 19 14:01:31 GMT 2022","297","","Contratos Pessoa","","","","Contrato - Validar contrato lista enderecos por pais",""
"passed","Sat Nov 19 14:00:53 GMT 2022","Sat Nov 19 14:00:53 GMT 2022","292","","Contato","","","","GET - Teste listar contato por idPessoa",""
"passed","Sat Nov 19 14:01:17 GMT 2022","Sat Nov 19 14:01:18 GMT 2022","1268","","Pessoa","","","","GET - Teste retorna lista com contatos sem passar idPessoa",""
"passed","Sat Nov 19 14:01:18 GMT 2022","Sat Nov 19 14:01:18 GMT 2022","198","","Pessoa","","","","PUT - atualizar pessoa",""
"failed","Sat Nov 19 14:01:30 GMT 2022","Sat Nov 19 14:01:31 GMT 2022","335","","Contratos Pessoa","","","","Contrato - Validar contrato lista endereco",""
"passed","Sat Nov 19 14:00:59 GMT 2022","Sat Nov 19 14:00:59 GMT 2022","183","","Pessoa","","","","GET - Teste listar pessoa pelo nome ",""
"passed","Sat Nov 19 14:01:19 GMT 2022","Sat Nov 19 14:01:19 GMT 2022","185","","Pessoa","","","","PUT - Atualizar Pessoa Passando Id Inexistente Retorna Codigo 404",""
"failed","Sat Nov 19 14:01:34 GMT 2022","Sat Nov 19 14:01:35 GMT 2022","237","","Contratos Pessoa","","","","Contrato - Validar contrato lista enderecos",""
"passed","Sat Nov 19 14:01:18 GMT 2022","Sat Nov 19 14:01:18 GMT 2022","155","","Pessoa","","","","DELETE - Teste deletar pessoa",""
"passed","Sat Nov 19 14:01:19 GMT 2022","Sat Nov 19 14:01:19 GMT 2022","180","","Pessoa","","","","DELETE - Teste deletar pessoa passando id inexistente retorna codigo 404",""
"passed","Sat Nov 19 14:00:56 GMT 2022","Sat Nov 19 14:00:56 GMT 2022","341","","Endereco","","","","GET - Teste listar endereco por país",""
"passed","Sat Nov 19 14:01:19 GMT 2022","Sat Nov 19 14:01:19 GMT 2022","205","","Pessoa","","","","GET - Teste Buscar Lista Completa Passando idPessoa Inexistente Retorna Vazio ",""
"passed","Sat Nov 19 14:00:57 GMT 2022","Sat Nov 19 14:00:57 GMT 2022","234","","Endereco","","","","POST - Teste adicionar endereco com sucesso",""
"failed","Sat Nov 19 14:01:20 GMT 2022","Sat Nov 19 14:01:24 GMT 2022","4352","","Pessoa","","","","GET - Teste Buscar Lista Com Contatos Passando Id Pessoa Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 14:01:18 GMT 2022","Sat Nov 19 14:01:19 GMT 2022","78","","Pessoa","","","","POST - Adicionar pessoa sem preencher nome retorna codigo 400",""
"passed","Sat Nov 19 14:01:34 GMT 2022","Sat Nov 19 14:01:34 GMT 2022","91","","Contratos Pessoa","","","","Contrato - Validar contrato lista relatorio",""
"passed","Sat Nov 19 14:00:57 GMT 2022","Sat Nov 19 14:00:57 GMT 2022","234","","Endereco","","","","DELETE - Teste deletar endereco por idEndereco",""
"passed","Sat Nov 19 14:01:19 GMT 2022","Sat Nov 19 14:01:20 GMT 2022","177","","Pessoa","","","","GET - Teste Buscar Lista De Enderecos Passando idPessoa Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 14:00:56 GMT 2022","Sat Nov 19 14:00:56 GMT 2022","329","","Endereco","","","","GET - Teste listar enderecos por pagina",""
"failed","Sat Nov 19 14:01:03 GMT 2022","Sat Nov 19 14:01:08 GMT 2022","4232","","Pessoa","","","","GET - Teste lista completa",""
"passed","Sat Nov 19 14:01:18 GMT 2022","Sat Nov 19 14:01:18 GMT 2022","62","","Pessoa","","","","GET - Teste listar todas as pessoas ",""
"passed","Sat Nov 19 14:01:27 GMT 2022","Sat Nov 19 14:01:27 GMT 2022","106","","Contratos Pessoa","","","","Contrato - Validar contrato lista contato",""
"passed","Sat Nov 19 14:01:19 GMT 2022","Sat Nov 19 14:01:19 GMT 2022","197","","Pessoa","","","","GET - Teste Buscar Relatorio Passando idPessoa Inexistente Retorna Vazio ",""
